id,recipient,agency_name,year_received,date_received,donor,donor_country,gift_description,value_usd,justification
842,"Edward M. Kennedy, U.S. Senator",U.S. Senate,2001,NA,King Abdullah of Jordan,Jordan,"Square Plate, Arabic design, teal, red and blue. Recd.--February 26, 2001. Est. Value-- $150. Deposited with Secretary of Senate.",150,Non-acceptance would cause embarrassment to donor and U.S. Government
843,"Edward M. Kennedy, U.S. Senator",U.S. Senate,2001,NA,"Former President of Taiwan, Lee Ten-Hoi",Taiwan,"Vase, Recd.--June 16, 2000. Est. Value-- $220. Display SR 324.",220,Non-acceptance would cause embarrassment to donor and U.S. Government
844,"John F. Kerry, U.S. Senator",U.S. Senate,2001,NA,King Abdullah of Jordan,Jordan,"Two Rosenthal China Plates. Recd.--January 26, 2001. Est. Value-- Exceeds $100. Deposited with Secretary of Senate.",100,Non-acceptance would cause embarrassment to donor and U.S. Government
845,"Bill Nelson, U.S. Senator",U.S. Senate,2001,NA,"President of Algeria, H.E. Abdelaziz Bouteflika",Algeria,"Carpet, 120'' x 72''. Recd.--July 12, 2001. Est. Value--Exceeds $100. Display SH 716.",100,Non-acceptance would cause embarrassment to donor and U.S. Government
846,"Bill Nelson, U.S. Senator",U.S. Senate,2001,NA,"President of Azerbaijan, Heyder Aliyer",Azerbaijan,"Carpet, 80'' x 48''. Recd.--April 14, 2001. Est. Value--Exceeds $100. Display SH 716.",100,Non-acceptance would cause embarrassment to donor and U.S. Government
847,"John D. Rockefeller IV, U.S. Senator. [R Name and title of person accepting travel expenses consistent with the interests of the U.S. Government",U.S. Senate,2001,NA,"Premier Chun-Hsiung Chang, Republic of China. Senate es of Travel] Identity of foreign donor and government",Taiwan,"Framed print entitled ``Wealth and Good Fortune''. Recd.-- August 10, 2001. Est. Value--Exceeds $100. Display in SH 531. AGENCY: United States Report of Travel or Expens Brief description of travel or expenses accepted as consistent with the interests of the U.S. Government and occurring outside the United States",100,Non-acceptance would cause embarrassment to donor and U.S. Government
848,President,National Security Council,2001,NA,"The Right Honorable Jean Chretien, P.C., M.P., Prime Minister of Canada",Canada,"Inuit sculpture of walrus in green soapstone with ivory tusks, created by J.B. Kolola (12'' x 7'' x 5''). Recd--February 5, 2001. Est. Value-- $700. Archives Foreign.",700,Non-acceptance would cause embarrassment to donor and U.S. Government
849,President,National Security Council,2001,NA,"His Excellency Kanat B. Saudabayev, Ambassador of the Republic of Kazakhstan",Kazakhstan,"Red Oriental wool rug (approximately 39'' x 63'') with an additional 4'' of fringe on each side. Recd--February 14, 2001. Est. Value-- $400. Archives Foreign. Book: ``Nazarabayev--My Life, My Times, and the Future,'' an autobiography. Recd-- February 14, 2001. est. Value--$30. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
850,President,National Security Council,2001,NA,"The Honorable Juan Carlos Romero Hicks, Governor of the State of Guanajuato",NA,"(1) Two book set (English and Spanish): ``Guanajuato: Places and Pathways'' and ``Guanajuato: Sitios y Recorridos,'' by Consuelo Tovar. (2) Handmade black leather cowboy boots with eagles on each side; made by the Liberty Boot Company. Recd-- February 15, 2001. Est. Value--$1900. Archives Foreign.",1900,Non-acceptance would cause embarrassment to donor and U.S. Government
851,President,National Security Council,2001,NA,"His Excellency Vicente Fox Quesada, President of the United Mexican States",Mexico,"Handmade black and maroon ostrich skin cowboy boots made by the Montana Boot Company. Recd-- February 15, 2001. Est. Value--$1500. Archives Foreign. Black leather belt with a sterling silver belt buckle shaped to form ``BUSH''. Recd-- February 15, 2001. Est. Value--$400. Archives Foreign. Pitiado belt decorated with cactus thread. Recd--February 15, 2001. Est. Value-- $400. Archives Foreign.",1500,Non-acceptance would cause embarrassment to donor and U.S. Government
852,President,National Security Council,2001,NA,"The Honorable Eduardo Ezequiel Arroyo Roldan, Mayor of San Francisco Del Rincon, Guanajuato",NA,"Black felt cowboy hat by the Arlop Hat Company. Recd-- February 15, 2001. Est. Value--$250. Archives Foreign. Black felt sombrero with 10k gold thread trim stitched ``San Francisco del Rincon, Gto 2001 Fox Bush San Cristobal'' around the rim; made by the Salazar Yepez Hat company. Recd-- February 15, 2001. Est. Value--$1800. Archives Foreign. ``Concord'' gym bag with five baseball hats with ``Concord'' symbol; three pairs of men's running shoes; two short-sleeved ``Concord'' shirts, white with black trim; two short-sleeved ``Concord'' shirts, black and white trim. Recd--February 15, 2001. Est. Value-- $552. Archives Foreign.",1800,Non-acceptance would cause embarrassment to donor and U.S. Government
853,President,National Security Council,2001,NA,"The Honorable Luis Ernesto Ayala Torres, Mayor of the City of Leon",NA,"(1) Key to the city of Leon in a black case with a plaque ``Llave de la Ciudad de Leon de los Aldama Entregada por su Govierno al Presidente de los Estados Unidos de Norte America George W. Bush Leon de los Aldama, Guanajuato, Mexico a 16 de Febrero del ano 2001.'' Small Mexican flag lapel pin included. (2) 8'' metal replica of ``Arco Triunfal'' on a wooden base. (3) Hardcover book: ``Leon: Trayectoria y Destino'', by Mariano Gonzalez Leal. (4) Handmade black leather boots with blue and white stitching from the San Diego Boot Company. Recd-- February 15, 2001. Est. Value--$1620. Archives Foreign.",1620,Non-acceptance would cause embarrassment to donor and U.S. Government
854,President,National Security Council,2001,NA,"His Excellency Francisco Guillermo Flores Perez, President of the Republic of El Salvador",El Salvador,"Painting: De la Serie ``Paisajes de Cafetal'' by Edmundo Otoniel, 11'' x 14'' landscape scene triple matted and framed in a gold-painted wooden frame (26'' x 29''. Recd--March 2, 2001. Est. Value--$1200. Archives Foreign.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
855,President,National Security Council,2001,NA,"His Excellency Kim Dae- jung, President of the Republic of Korea",NA,"Model of a turtle ship (keo bug seon). 5.5'' x 5.5'' x 5.5'', executed in white painted aluminum; contained in a glass case on a rosewood base with brass plaque engraved ``Presented to his Excellency George Walker Bush, the President of the United States of America by Kim Dae- jung, the President of the Republic of Korea March 7, 2001''. Recd-- March 7, 2001. Est. Value--$400. Archives Foreign. Book: ``Three Stage' Approach to Korean Reunification,'' by President Kim Dae- jung. Recd--March 7, 2001. Est. Value--$40. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
856,President,National Security Council,2001,NA,"His Excellency Rostom Al-Zoubi, Ambassador of the Syrian Arab Republic",Syria,"Mirror: 36'' x 50'' in an elaborate 5'' wooden inlay frame; handmade in Syria. Recd--March 13, 2001. Est. Value--$600. Archives Foreign.",600,Non-acceptance would cause embarrassment to donor and U.S. Government
857,President,National Security Council,2001,NA,"His Excellency Bertie Ahern, Prime Minister of Ireland",Ireland,"Large (12'' diameter) Dublin Crystal bowl, engraved on side ``Presented to George W. Bush, President of The United States of America on the occasion of St. Patrick's Day 2001 by the Taoiseach, Bertie Ahern, T.D., on behalf of the people of Ireland.'' Gift also included 5 pint-size bags of shamrocks. Recd--March 16, 2001. Est. Value--$295. Archives Foreign.",295,Non-acceptance would cause embarrassment to donor and U.S. Government
858,President,National Security Council,2001,NA,"His Excellency Yoshiro Mori, Prime Minister of Japan",Japan,"Portrait: Laser picture of President Bush on stretch nylon fabric 16'' x 12''), double matted in wooden frame (23\1/4\'' x 18\1/ 4\''). Recd--March 19, 2001. Est. Value-- $375. Archives Foreign. Vase: Kutani ware, round 6\1/2\'' x 20'' in dark blue shading to green color. Recd-- March 19, 2001. Est. Value--$350. Archives.",375,Non-acceptance would cause embarrassment to donor and U.S. Government
859,President,National Security Council,2001,NA,"His Excellency Ariel Sharon, Prime Minister of Israel",Israel,"Etching (20'' x 15''): ``Draught of the City of Jerusalem'' with a plaque engraved: ``Presented to The Honorable George W. Bush, President The United States of America, In Friendship, March 2001 Ariel Sharon State of Israel Prime Minister.'' Recd-- March 20, 2001. Est. Value--$275. Archives Foreign.",275,Non-acceptance would cause embarrassment to donor and U.S. Government
860,President,National Security Council,2001,NA,"His Excellency Vicente Fox Quesada, President of the United Mexican States",Mexico,"Boots: navy blue ostrich skin stitched with ``GWB'', ``2001'', the American and Mexican flags, and a symbolic Mexican design. Recd--March 22, 2001. Est. Value-- $1800. Archives Foreign.",1800,Non-acceptance would cause embarrassment to donor and U.S. Government
861,President,National Security Council,2001,NA,"His Eminence Edmund Cardinal Szoka, President, Pontifical Commission for Vatican City State",Vatican City,"Coin: ``Pontificate of John Paul II'' gold coin, issued 12 Sept 2000. Recd--March 26, 2001. Est. Value-- $405. Archives Foreign. Coin: ``Pontificate of Paul Paul II'' coin, issued 12 Sept 2000. Recd--March 26, 2001. Est. Value--$209. Archives Foreign.",405,Non-acceptance would cause embarrassment to donor and U.S. Government
862,President,National Security Council,2001,NA,"His Excellency Gerhard Schroeder, Chancellor of the Federal Republic of Germany",Germany,"Eschenbach binoculars and canvas carrying case. Recd--March 29, 2001. Est. Value-- $267. Archives Foreign. Hardcover book: ``Berlin 360,'' by Jaron Verlag. Book has panoramic photographs of various scenes in Berlin with captions in German. Recd--March 29, 2001. Est. Value-- $75. Archives Foreign.",267,Non-acceptance would cause embarrassment to donor and U.S. Government
863,President,National Security Council,2001,NA,"His Excellency Mohamed Hosny Mubarak, President of the Arab Republic of Egypt",Egypt,"Rug: Mamluk design, all silk (approximately 4' x 6' machine spun Egyptian rug. Recd-- April 2, 2001. Est. Value--$1500. Archives Foreign.",1500,Non-acceptance would cause embarrassment to donor and U.S. Government
864,President,National Security Council,2001,NA,"His Excellency Robert Kocharian, President of the Republic of Armenia",Armenia,"Vase; metal in the shape of the Aries symbol (a ram's head). Recd--April 9, 2001. Est. Value--$400. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
865,President,National Security Council,2001,NA,"His Majesty King Abdullah II bin Al Hussein of the Hashemite, Kingdom of Jordan",Jordan,"Crystal vase (10'' x 4\1/2\''): handmade Swedish frosted glass with crown engraved on top and a landscape design underneath; wood base with brass plaque and a wood display case (14'' x 8\3/4\'' x 8\1/2\'') also included. Recd-- April 10, 2001. Est. Value--$600. Archives Foreign.",600,Non-acceptance would cause embarrassment to donor and U.S. Government
866,President,National Security Council,2001,NA,His Excellency The President of the Argentine Nation and Mrs. de De la Rua,Argentina,"``Coordillerana'' saddle, stirrup, stirrup's belt, blue poncho, poncho, and silver bridle. Recd-- April 19, 2001. Est. Value--$438. Archives Foreign. Silver ``GB'' belt buckle and leather belt. Recd--April 19, 2001. Est. Value-- $200. Archives Foreign.",438,Non-acceptance would cause embarrassment to donor and U.S. Government
867,President,National Security Council,2001,NA,"The Right Honorable Jean Chretien, P.C., M.P., Prime Minister of Canada",Canada,"Artwork (18'' x 21''): four pictures of different Quebec scenes by Antoine, Dumas; all numbered, 30 of 80, and signed by artist. Recd--April 20, 2001. Est. Value-- $575. Archives Foreign.",575,Non-acceptance would cause embarrassment to donor and U.S. Government
868,President,National Security Council,2001,NA,"The Right Honorable Jean Chretien, P.C., M.P., Prime Minister of Canada",Canada,"Wooden box with carving of Chateau Frontenac on front containing 4 bottles of Inniskillin wine ('97 Oak aged and '98 Vidal). Recd-- April 20, 2001. Est. Value--$336. Handled pursuant to Secret Service policy.",336,Non-acceptance would cause embarrassment to donor and U.S. Government
869,President,National Security Council,2001,NA,"His Excellency, The President of the Republic of Nicaragua and Exelentisima Maria Dolores Aleman",Nicaragua,"Hardback book: ``Sepultado en el olvido: Atlas Historiografico,'' by Alejandro, Bolanos Geyer. Recd--April 21, 2001. Est. Value-- $300. Archives Foreign.",300,Non-acceptance would cause embarrassment to donor and U.S. Government
870,President,National Security Council,2001,NA,"His Excellency, Rafiq al-Hariri, Prime Minister of the Republic of Lebanon",Lebanon,"Framed paintings (21'' x 21\1/2\''): (1) town scene, (2) village by the beach. Recd--April 25, 2001. Est. Value-- $700. Archives Foriegn.",700,Non-acceptance would cause embarrassment to donor and U.S. Government
871,President,National Security Council,2001,NA,"His Highness Sheikh Sulman bin Hamad bin Isa Al-Khalifa, Crown Prince of the State of Bahrain, and Head of the Bahrain Defense Force",Bahrain,"Color photograph (approximately 9'' x 7'') inscribed to President in a silver and leather frame. Recd--May 7, 2001. Est. Value--$500. Archives Foreign. Curved gold saber and sheath, approximately 39'' long. Recd--May 7, 2001. Est. Value-- $10000. Archives Foreign.",10000,Non-acceptance would cause embarrassment to donor and U.S. Government
872,President,National Security Council,2001,NA,"His Excellency Vojislav Kostunica, President of the Federal Republic of Yugoslavia",Yugoslavia,"Bottle (750ml) of Sljiva liquor. Recd-- May 9, 2001. Est. Value--$16. Handled pursuant to Secretary Service policy. Icon: 14'' x 10'' painted wood icon depicting St. George on a horse slaying a monster. Recd--May 9, 2001. Est. Value-- $250. Archives Foreign.",250,Non-acceptance would cause embarrassment to donor and U.S. Government
873,President,National Security Council,2001,NA,"His Excellency, Olusegun Obasanjo, President of the Federal Repubilic of Nigeria",Nigeria,"14'' black sculpture of a panther with display stand; held in a large green leather box. Recd--May 11, 2001. Est. Value--$850. Archives Foreign.",850,Non-acceptance would cause embarrassment to donor and U.S. Government
874,President,National Security Council,2001,NA,"His Excellency, Vicente Fox Quesada, President of the United Mexican States",Mexico,"Two signed, limited edition engravings, approximately 6\1/2\'' x 8'' Recd--May 23, 2001. Est. Value-- $400. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
875,President,National Security Council,2001,NA,"His Excellency Moshe Katzav, President of Israel",Israel,"Hardcover book: ``Scrolls from the Dead Sea.'' Hardcover book: ``The Golden Book of Psalms,'' bound in buffalo leather, printed in Hebrew and English, and held in a leather and wood box. Recd-- May 31, 2001. Est. Value--$535. Archives Foreign. 38'' x 9'' framed reproduction of a Dead Sea Scroll; held in a blue velvet box. Recd-- May 31, 2001. Est. Value--$300. Archives Foreign.",535,Non-acceptance would cause embarrassment to donor and U.S. Government
876,President,National Security Council,2001,NA,"The Right Honorable Lord Robertson of Port Ellen, P.C., Screatary General of the North Atlantic Treaty Organization",NA,"Waterman blue fountain pen with NATO logo on tip. Recd--June 13, 2001. Est. Value-- $275. Archives Foreign.",275,Non-acceptance would cause embarrassment to donor and U.S. Government
877,President,National Security Council,2001,NA,"His Excellency Guy Verhofstadt, Prime Minister of Belgium",Belgium,"Four crystal wine glasses. Recd--June 13, 2001. Est. Value-- $800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
878,President,National Security Council,2001,NA,"His Excellency Milan Kucan, President of the Republic of Slovenia",Slovenia,"Crystal globe (10'' diameter) with Slovenia marked in gold. Globe rotates and rests on marble base (9''d) with plaque engraved ``Republika Slovenija 16.6.2001.'' Recd-- June 16, 2001. Est. Value--$250. Archives Foreign. Hardcover book: ``Slovenia: The First Ten Years,'' Recd-- June 16, 2001. Est. Value--$80. Archives Foreign.",250,Non-acceptance would cause embarrassment to donor and U.S. Government
879,President,National Security Council,2001,NA,"His Excellency, Vladimir Putin, President of the Russian Federation",Russia,"Silver relief of the Kremlin (2'' x 5'') and 5 silver coins; held in blue presentation box. Recd- -June 16, 2001. Est. Value--$350. Archives Foreign.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
880,President,National Security Council,2001,NA,"His Excellency John Kufuor, President of the Republic of Ghana",Ghana,"Cloth (11'' x 6'8''): green, gold, black, purple and red hand woven ``Kente'' cloth. Recd--June 29, 2001. Est. Value--$650. Archives Foreign.",650,Non-acceptance would cause embarrassment to donor and U.S. Government
881,President,National Security Council,2001,NA,"His Excellency Junichiro Koizumi, Prime Minister of Japan",Japan,"Fishing rod: 6'' Daiwa ``Grand Wave-X Off- shore'' rod; specialized jigging model 63 HRJ-S. Recd-- June 30, 2001. Est. Value--$399. Archives Foreign. Sony P50 digital camera. Recd--June 30, 2001. Est. Value-- $400. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
882,President,National Security Council,2001,NA,"His Majesty Mohamed VI, King of Morocco",Morocco,"Saddle: black with gold and silver embroidery, red leather trim, black fringe with silver sequins, and intricately engraved metal strirrups; held in a glass case. Recd-- July 6, 2001. Est. Value--$500. Archives Foreign.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
883,President,National Security Council,2001,NA,"His Excellency Abdelkaziz Bouteflika, President of the People's Democratic Republic of Algeria",Algeria,"Sword: 29'' silver handle and sheath with motif of flowers and rope, and coral stones. Recd--July 12, 2001. Est. Value-- $1000. Archives Foreign. Saddle (39'' x 41'') with 15'' seat and wool blanket lining: green leather with gold and silver rope applique with matching neck piece (50'' x 3'') and head piece (33'' x 15''). Wood stand for resting the saddle (31'' x 22'' x 15''). Recd--July 12, 2001. Est. Value-- $1400. Archives Foreign. Dates (10 boxes): ``Dattes Deglet Nour d'Algerie, Branchettes.'' Recd-- July 12, 2001. Est. Value--$220. Handled pursuant to Secret Service policy. Wine (36 bottles): Domaine de Sebra (12); Medea (12); Cuvee du President (12). Recd-- July 12, 2001. Est. Value--$480. Handled pursuant to Secret Service policy.",1400,Non-acceptance would cause embarrassment to donor and U.S. Government
884,President,National Security Council,2001,NA,"His Royal Highness The Prince Philip, Duke of Edinburgh",NA,"Silver frame (8\1/2\'' x 12''): with the Royal crest engraved on top, and matted and signed photograph of Prince Philip. Recd-- July 19, 2001. Est. Value--$350. Archives Foreign.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
885,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Art prints (4): copper plates (30'' x 22\1/ 2\'') hand printed on Fabriano Tiepolo paper depicting four Greco- Roman theaters; all signed and numbered. Recd--July 20, 2001. Est. Value--$800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
886,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Porcelain bowl: 15\1/ 2\'' white and gold crater-shaped bowl by Richard Ginori; crafted in the style of Carlo Leopoldo Ginori Lisci; with scalloped edges and four mermaid figures atop a base featuring two horses. Recd--July 20, 2001. Est. Value-- $1200. Archives Foreign.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
887,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Toiletries: Aqua di Parma cologne (6 oz.); soap (100 g); facial cream (3.3 oz.); and cologne deodorant (5 oz.). Recd--July 20, 2001. Est. Value-- $263. Handled pursuant to Secret Service policy. Yellow leather Aqua di Parma toiletries case. Recd--July 20, 2001. Est. Value--$100. Archives Foreign.",263,Non-acceptance would cause embarrassment to donor and U.S. Government
888,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Watch: Stradivari 1715 wristwatch with black leather band and silver casing engraved ``George W. Bush'' on side. Recd--July 20, 2001. Est. Value-- $500. Archives Foreign.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
889,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Leatherbound hardcover book (first edition): ``Storia Della Scienza, Volume I'' in a brown leather sleeve; accompanied by an engraved book plaque. Recd--July 20, 2001. Est. Value-- $350. Archives Foreign.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
890,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Watch: Franck Muller Chrometro wristwatch with gold casing and brown leather band, Recd--July 27, 2001. Est. Value--$10900. Archives Foreign.",10900,Non-acceptance would cause embarrassment to donor and U.S. Government
891,President,National Security Council,2001,NA,"His Excellency Sivlio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Lap desk: portable black leather Pineider writing desk (17\1/ 2\'' x 17\1/4\'' x 15\1/2\'') with personalized stationery, fountain pens and nibs, and inkwell. Recd--July 27, 2001. Est. Value-- $1650. Archives Foreign.",1650,Non-acceptance would cause embarrassment to donor and U.S. Government
892,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Ties (3): ``Battistoni'' silk twill (navy blue). Recd--July 30, 2001. Est. Value--$390. Archives Foreign.",390,Non-acceptance would cause embarrassment to donor and U.S. Government
893,President,National Security Council,2001,NA,"His Excellency Carlo Azeglio Ciampi, President of the Italian Republic",Italy,"Photo album: leather imprinted with ``Presidenza della Republica Italiana, George W. Bush, Presidente degli Stati Uniti D'America, Genova--Roma, 20-23 Luglio 2001,'' containing photos from the Presidential visit. Recd--July 30, 2001. Est. Value-- $200. Archives Foreign.",200,Non-acceptance would cause embarrassment to donor and U.S. Government
894,President,National Security Council,2001,NA,"His Excellency Serge Mombouli, Ambassador of the Republic of Congo",Congo - Brazzaville,"Wooden carving: 40'' female figure carrying child on her back and a water urn on her head; carved from light-colored ebony with a plaque attached to the base: ``To The Honorable George W. Bush President of the United States From, Ambassador Serge Mombouli Republic of Congo, Credentials Presented 7-31-01.'' Recd--July 30, 2001. Est. Value--$1600.",1600,Non-acceptance would cause embarrassment to donor and U.S. Government
895,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Briefcase: made of black real carbon fiber by ``Tradition and Technology'' (4'' x 14'' x 17''). Recd-- July 31, 2001. Est Value--$800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
896,President,National Security Council,2001,NA,"The Right Honorable Tony Blair, M.P., Prime Minister",NA,"Jacket: Barbour Thornproof, Classic Beaufort with zip-in vest and snap-on hood. Recd--July 31, 2001. Est. Value--$354. Archives Foreign.",354,Non-acceptance would cause embarrassment to donor and U.S. Government
897,President,National Security Council,2001,NA,"The Right Honorable Jean Chretien, P.C., M.P., Prime Minister of Canada",Canada,"Framed document: 27'' x 32'' framed and matted reproduction of the ``Declaration of Quebec City'' from the Summit of the Americas, April 22, 2001; signed by attendees. Recd-- August 20, 2001. Est. Value--$180. Archives Foreign. CD and videocassette: ``Amerythmes: Sommet des Ameriques, Quebec, Canada 2001.'' Recd-- August 20, 2001. Est. Value--$30. Archives Foreign. Album: 9'' x 10'' burgundy leather photo album embossed with gold crest, containing photographs of the Presidential visit to Quebec in April 2001. Recd--August 20, 2001. Est. Value--$201. Archives Foreign.",201,Non-acceptance would cause embarrassment to donor and U.S. Government
898,President,National Security Council,2001,NA,"The Honorable John Howard, Prime Minister of Australia",Australia,"Shirt: long-sleeve wool shirt with blue and green stripes. Recd-- September 10, 2001. Est. Value--$150. Archives Foreign. Boots: custom-made boots of Australian crocodile, kangaroo, and emu hide. Recd-- September 10, 2001. Est. Value--$496. Archives Foreign. Bowl: wooden bowl (16'' x 10'') made of Australian red cedar, with hinged lid and flower design on lid; held in satin-lined polished wood case. Recd--September 10, 2002. Est. Value-- $404. Archives Foreign.",496,Non-acceptance would cause embarrassment to donor and U.S. Government
899,President,National Security Council,2001,NA,"His Excellency, Teodoro Biyogo Nsue, Ambassador of the Republic of Equatorial Guinea",Equatorial Guinea,"Wreath of flowers. Recd- -September 17, 2001. Est. Value--$300. Handled pursuant to Secret Service policy.",300,Non-acceptance would cause embarrassment to donor and U.S. Government
900,President,National Security Council,2001,NA,"His Excellency Jacques Chirac, President of the French Republic",France,"Watch: Bernard-Richards quartz watch with Roman and Arabic dials and a leather band; engraved on back ``Presidence de la Republique francaise.'' Recd-- September 19, 2001. Est Value--$350. Archives Foreign. Wine: 6 bottles of 1990 Chateau La Lagune Haut- Medoc win. Recd-- Septmeber 19, 2001. Est. Value--$372. Handled pursuant to Secret Service policy.",372,Non-acceptance would cause embarrassment to donor and U.S. Government
901,President,National Security Council,2001,NA,"Her Excellency Soekarnopoutri Megawati, President of the Republic of Indonesia",Indonesia,"Wood carving: 31'' elaborately carved ebony in the figure of a male and female head. Recd--September 26, 2001. Est. Value-- $225. Archives Foreign.",225,Non-acceptance would cause embarrassment to donor and U.S. Government
902,President,National Security Council,2001,NA,"His Royal Highness Prince Bandar bin Sultan bin Abdul Aziz, Ambassador of the Kingdom of Saudi Arabia",Saudi Arabia,"Framed original cartoon by Washington Times cartoonist Bill Garner; two-panel drawing of President Bush at joint session of Congress in September 2001. Recd-- October 1, 2001. Est. Value--$600. Archives Foreign.",600,Non-acceptance would cause embarrassment to donor and U.S. Government
903,President,National Security Council,2001,NA,"His Highness Sheikh Hamad bin Khalifa Al Thani, Amir of the State of Qatar",Qatar,"Vase (14''): turquoise frosted glass bowl (15'' diameter) on a gold and silver stand surrounded by five gnus. Recd--October 4, 2001. Est. Value-- $10000. Archives Foreign. CD: ``Qatar: The Modern State.'' Recd--October 4, 2001. Est. Value-- $15. Archives Foreign.",10000,Non-acceptance would cause embarrassment to donor and U.S. Government
904,President,National Security Council,2001,NA,"His Excellency Eduard Shevardnadze, President of Georgia",Georgia,"Painting: 23'' round enamel painting on copper of St. George on a horse slaying the dragon, with ``Good Defeats Evil'' above it; held on a 35'' x 35'' wood frame. Recd-- October 5, 2001. Est. Value--$800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
905,President,National Security Council,2001,NA,"The Honorable Carlos Garcia Orjuela, President of the Senate of the Republic of Colombia",Colombia,"Parchment commendation of George W. Bush from ``Republica de Colombia Congreso de Colombia Sesion Plenaria''; received in a leather folder embossed with crest and ``Senado de la Republica''. Recd-- October 12, 2001. Est. Value--$400. Archives Foreign.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
906,President,National Security Council,2001,NA,"His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic",Italy,"Watch: silver Piaget watch with rectangular face. Recd--October 16, 2001. Est. Value-- $5900. Archives Foreign.",5900,Non-acceptance would cause embarrassment to donor and U.S. Government
907,President,National Security Council,2001,NA,"His Excellency Junichiro Koizumi, Prime Minister of Japan",Japan,"Bow: 6' lacquered bamboo bow bound by rattan; made in the same manner as those of the shoguns. Recd-- October 20, 2001. Est. Value--$650. Archives Foreign. Wooden stand and four arrows; stand designed to hold large bamboo bow. Recd--October 20, 2001. Est. Value--$60. Archives Foreign. Arrow: antique fork- shaped arrow in a wooden box with calligraphy by the Prime Minister: ``The arrow to defeat the evil and bring peace on earth.'' Recd-- October 20, 2001. Est. Value--$2400. Archives Foreign. Photograph: 4'' x 6'' color photo of a man in traditional shogun costume on horseback with large bow and arrow; held in a tinted lucite frame. Recd--October 20, 2001. Est. Value--$30. Archives Foreign.",2400,Non-acceptance would cause embarrassment to donor and U.S. Government
908,President,National Security Council,2001,NA,"Her Excellency Gloria Macapagal-Arroyo, President of the Republic of the Philippines",Philippines,"Hardcover book series (10 volumes): ``Kasaysayan: The Story of the Filipino People,'' published by Reader's Digest. Recd-- October 21, 2001. Est. Value--$350. Archives Foreign.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
909,President,National Security Council,2001,NA,"His Excellency Alejandro Toledo Manrique, President of the Republic of Peru",Peru,"Box: 5\1/4\'' x 3\3/ 4\'' x 2'' wood-lined silver box with glass insert in lid displaying piece of Peruvian fabric. Recd-- October 24, 2001. Est. Value--$200. Archives Foreign. Hardcover coffee table book: ``Calendar of Peru: Fiesta Times.'' Recd--October 24, 2001. Est. Value--$75. Archives Foreign.",200,Non-acceptance would cause embarrassment to donor and U.S. Government
910,President,National Security Council,2001,NA,"His Excellency YAB Dato Seri Dr. Mahathir bin Mohamad, Prime Minister of Malaysia",Malaysia,"Rice bowl: ornate silver bowl with lid and gold details, made in traditional Malay silver crafting method. Recd--October 24, 2001. Est. Value-- $750. Archives Foreign.",750,Non-acceptance would cause embarrassment to donor and U.S. Government
911,President,National Security Council,2001,NA,"Mr. Yu Ziaozong, Chairman, China Council for the Promotion of International Trade",China,"Box: 8\1/4\'' x 6\1/ 2\'' wood box carved with the APEC CEO Summit logo; lined in yellow silk and containing a glass snuff bottle painted with an image of the President, with a wood display stand. Recd-- October 24, 2001. Est. Value--$1000. Archives Foreign.",1000,Non-acceptance would cause embarrassment to donor and U.S. Government
